Z,Element Name,EminLow,EmaxLow,bKlow,cKlow,EminHigh,bKhigh,cKhigh,50 el,100 el,150 el,200 el,250 el,300 el,Kedge
1,H,0,0,0,0,0,0,0,6.42E-06,3.64E-06,2.72E-06,2.26E-06,1.99E-06,1.81E-06,1.400000E-02
6,C,0.66,6.21,0.8058,0.796,11.7,0.512,5.85,0.000141802,8.05E-05,6.01E-05,5.00E-05,4.41E-05,4.01E-05,2.840000E-01
7,N,0.9,8.07,0.8396,0.822,16.1,0.527,6.25,0.000152689,8.67E-05,6.48E-05,5.39E-05,4.75E-05,4.33E-05,4.020000E-01
8,O,1.18,10.5,0.8383,0.824,21.9,0.524,6.37,0.000160651,9.13E-05,6.83E-05,5.68E-05,5.00E-05,4.56E-05,5.370000E-01
10,NE,1.88,16.9,0.8412,0.832,36.3,0.524,6.58,0,0,0,0,0,0,8.670000E-01
11,NA,0,0,0,0,0,0,0,0.000271891,0.00015493,0.000115933,9.66E-05,8.51E-05,7.75E-05,1.072000E+00
13,AL,3.26,28,0.812,0.86,73.6,0.485,8.41,0,0,0,0,0,0,1.560000E+00
14,SI,3.8,32.6,0.804,0.868,91.2,0.475,9.03,0,0,0,0,0,0,1.839000E+00
15,P,0,0,0,0,0,0,0,0.000564113,0.000323126,0.000242215,0.000201929,0.000177964,0.000162163,2.149000E+00
16,S,0,0,0,0,0,0,0,0.000602002,0.000345489,0.000259145,0.000216111,0.000190498,0.000173604,2.472000E+00
17,CL,0,0,0,0,0,0,0,0.000631715,0.000363301,0.000272698,0.000227492,0.000200571,0.000182808,2.822000E+00
18,AR,6.31,53.3,0.791,0.894,199.5,0.449,11.5,0,0,0,0,0,0,3.202000E+00
20,CA,7.82,66.1,0.781,0.905,275.4,0.435,12.8,0,0,0,0,0,0,4.038000E+00
22,TI,9.55,80.7,0.775,0.914,374.4,0.426,14,0,0,0,0,0,0,4.965000E+00
24,CR,11.5,95.5,0.77,0.921,501.2,0.418,15.1,0,0,0,0,0,0,5.989000E+00
25,MN,12.4,104.7,0.769,0.926,566.7,0.414,15.7,0,0,0,0,0,0,6.540000E+00
26,FE,13.4,113.1,0.767,0.929,640.7,0.411,16.2,0,0,0,0,0,0,7.112000E+00
28,NI,15.6,129.8,0.764,0.936,806.6,0.405,17.3,0,0,0,0,0,0,8.333000E+00
29,CU,16.9,138,0.763,0.939,898.1,0.403,17.8,0,0,0,0,0,0,8.979000E+00
30,ZN,17.9,146.8,0.762,0.943,1000,0.4,18.4,0.001062121,0.000631491,0.000479649,0.000402533,0.000356158,0.000325369,9.659000E+00
31,GA,19.3,156.1,0.76,0.947,1113,0.397,19.1,0,0,0,0,0,0,1.036700E+01
32,GE,20.6,166,0.758,0.951,1240,0.394,19.9,0,0,0,0,0,0,1.110400E+01
34,SE,23.3,182,0.756,0.959,1468,0.388,21.3,0,0,0,0,0,0,1.265800E+01
39,Y,30.2,225.6,0.747,0.981,2291,0.374,25.7,0,0,0,0,0,0,1.708000E+01
46,PD,41.7,284,0.734,1.016,4105,0.357,32.9,0,0,0,0,0,0,2.435000E+01
47,AG,43.7,292.9,0.732,1.021,4365,0.355,34,0,0,0,0,0,0,2.551400E+01
50,SN,48.6,321.1,0.724,1.038,5580,0.347,38,0,0,0,0,0,0,2.920000E+01
51,SB,50.9,326.1,0.722,1.043,6026,0.345,39.5,0,0,0,0,0,0,3.049100E+01
79,AU,138,670.9,0.601,1.292,31623,0.288,101,0,0,0,0,0,0,8.072300E+01
82,PB,146.8,702.9,0.587,1.32,38019,0.283,113,0,0,0,0,0,0,8.800600E+01
83,BI,153.7,713.9,0.581,1.333,39204,0.281,116,0,0,0,0,0,0,9.052700E+01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
