h^2,J
0.009,117970
0.0131,100512.0234
0.0172,80882.99219
0.0213,62948.51563
0.0254,57507.75781
0.0295,61357.42969
0.0335,72234.0625
0.0376,89858.94531
0.0417,109460.9297
0.0458,126917.0391
0.0499,137405.0625
0.054,139655.375
0.0581,137483.2188
0.0622,133394.875
0.0663,129394.3281
0.0704,125762.6172
0.0745,121035.2891
0.0786,116051.8047
0.0826,110836.0781
0.0867,104613.2969
0.0908,97322.05469
0.0949,89836.30469
0.099,83216.1875
0.1031,78146.27344
0.1072,73459.67188
0.1113,69471.02344
0.1154,65299.64453
0.1195,61581.44141
0.1236,58510.61328
0.1277,55865.17969
0.1318,53658.78906
0.1358,52101.01953
0.1399,51070.41797
0.144,50092.04297
0.1481,49350.72266
0.1522,48151.91016
0.1563,47058.90625
0.1604,46675.40625
0.1645,46597.67578
0.1686,45924.04688
0.1727,46080.67188
0.1768,45937.62109
0.1809,46096.02344
0.1849,45896.96484
0.189,45990.09375
0.1931,46123.29297
0.1972,46343.51563
0.2013,45936.53906
0.2054,45715.69531
0.2095,45109.16406
0.2136,44549.13281
0.2177,43634.82031
0.2218,43566.08594
0.2259,43451.01563
0.23,42696.29297
0.2341,41173.98047
0.2381,39972.75391
0.2422,39166.62891
0.2463,38020.36719
0.2504,36810.99219
0.2545,35497.30859
0.2586,34194.90625
0.2627,32992.74219
0.2668,31585.99609
0.2709,30211.49219
0.275,29119.81641
0.2791,28151.56445
0.2832,27386.41406
0.2873,26232.77539
0.2913,25235.69336
0.2954,24318.24414
0.2995,23707.94922
0.3036,22821.91016
0.3077,22182.0957
0.3118,21694.74023
0.3159,21236.88867
0.32,20733.12305
0.3241,20323.28906
0.3282,20073.4043
0.3323,19932.15625
0.3364,19631.48047
0.3404,19223.18945
0.3445,18920.27344
0.3486,18557.66211
0.3527,18134.78906
0.3568,17926.91797
0.3609,17909.14453
0.365,17908.37109
0.3691,17781.65234
0.3732,17634.25195
0.3773,17607.75781
0.3814,17273.9707
0.3855,17132.12109
0.3896,16953.23828
0.3936,16883.56055
0.3977,16615.0918
0.4018,16435.37695
0.4059,16423.14063
0.41,16351.83301
0.4141,16278.80566
0.4182,15998.30078
0.4223,15795.75391
0.4264,15589.18555
0.4305,15561.38379
0.4346,15467.07227
0.4387,15476.58887
0.4428,15331.99805
0.4468,15028.96387
0.4509,14745.98731
0.455,14509.1416
0.4591,14445.92578
0.4632,14254.64258
0.4673,14111.9209
0.4714,13900.47852
0.4755,13785.52637
0.4796,13686.09277
0.4837,13464.8457
0.4878,13304.15723
0.4919,13084.09277
0.4959,13114.88086
0.5,13089.5957
0.5041,13244.09473
0.5082,13117.39844
0.5123,13140.62598
0.5164,13031.72656
0.5205,12999.48145
0.5246,12835.45801
0.5287,12954.44043
0.5328,12937.74707
0.5369,12936.30371
0.541,12825.82715
0.5451,12995.07715
0.5491,12994.03125
0.5532,13036.25684
0.5573,13006.76563
0.5614,13057.58594
0.5655,13010.01563
0.5696,12891.70703
0.5737,12966.08106
0.5778,13114.42285
0.5819,13119.47363
0.586,13065.75391
0.5901,13052.74707
0.5942,13214.61914
0.5982,13376.88477
0.6023,13386.03711
0.6064,13244.18359
0.6105,13225.625
0.6146,13203.17773
0.6187,13157.91895
0.6228,13058.34473
0.6269,13089.54688
0.631,13236.26953
0.6351,13356.92773
0.6392,13294.08496
0.6433,13322.50586
0.6474,13356.87793
0.6514,13574.7002
0.6555,13741.78809
0.6596,13988.0127
0.6637,14126.93359
0.6678,14226.77832
0.6719,14096.91309
0.676,14083.92773
0.6801,14170.34277
0.6842,14351.64648
0.6883,14494.58496
0.6924,14485.08203
0.6965,14514.43359
0.7006,14622.69043
0.7046,14725.59668
0.7087,14840.91211
0.7128,14869.13672
0.7169,14947.92871
0.721,15039.32813
0.7251,15069.89941
0.7292,15058.23047
0.7333,14892.11523
0.7374,14829.18359
0.7415,14854.60938
0.7456,14911.04297
0.7497,14950.72168
0.7537,15113.7832
0.7578,15211.77344
0.7619,15205.69531
0.766,15024.02344
0.7701,14926.85938
0.7742,14948.20508
0.7783,14968.5
0.7824,14961.65332
0.7865,14880.74414
0.7906,14853.39648
0.7947,14715.40039
0.7988,14625.74707
0.8029,14476.19727
0.8069,14315.36231
0.811,14115.83594
0.8151,14177.43457
0.8192,14214.16895
0.8233,13756.12793
0.8274,13478.93848
0.8315,13409.52148
0.8356,13313.30469
0.8397,13191.07617
0.8438,13068.22754
0.8479,13143.24023
0.852,13034.02148
0.8561,12844.78613
0.8601,12565.62598
0.8642,12494.12598
0.8683,12431.33301
0.8724,12224.25879
0.8765,12045.22852
0.8806,11934.91699
0.8847,11999.30957
0.8888,12092.72168
0.8929,12073.92676
0.897,12000.38574
0.9011,11492.28418
0.9052,11340.66602
0.9092,11261.27832
0.9133,11170.41113
0.9174,11033.55371
0.9215,10920.55566
0.9256,10805.26074
0.9297,10749.54199
0.9338,10633.93652
0.9379,10553.6709
0.942,10396.85156
0.9461,10345.89844
0.9502,10439.53223
0.9543,10444.08398
0.9584,10338.72754
0.9624,10137.35742
0.9665,10024.37402
0.9706,9960.443359
0.9747,9843.068359
0.9788,9813.852539
0.9829,9774.963867
0.987,9722.901367
0.9911,9668.754883
0.9952,9489.758789
0.9993,9437.469727
1.0034,9337.84668
1.0075,9232.355469
1.0115,9143.000977
1.0156,8946.202148
1.0197,9061.576172
1.0238,8927.707031
1.0279,8833.817383
1.032,8559.50293
1.0361,8737.791016
1.0402,8741.25293
1.0443,8734.716797
1.0484,8730.012695
1.0525,8553.071289
1.0566,8567.203125
1.0607,8448.90625
1.0647,8348.450195
1.0688,8372.744141
1.0729,8420.621094
1.077,8534.404297
1.0811,8515.739258
1.0852,8391.37207
1.0893,8376.128906
1.0934,8364.005859
1.0975,8370.607422
1.1016,8053.081055
1.1057,7885.546875
1.1098,7949.569824
1.1139,8098.683105
1.1179,8009.884766
1.122,7884.853027
1.1261,7912.11084
1.1302,7977.089844
1.1343,8038.597168
1.1384,7984.880859
1.1425,7943.616211
1.1466,8002.785156
1.1507,7840.146973
1.1548,7771.714844
1.1589,7704.839844
1.163,7606.397949
1.167,7499.033203
1.1711,7380.200195
1.1752,7353.042969
1.1793,7373.826172
1.1834,7386.295898
1.1875,7445.311035
1.1916,7298.76123
1.1957,7163.548828
1.1998,6936.292969
1.2039,6920.410156
1.208,6888.470215
1.2121,7020.129883
1.2162,6991.48584
1.2202,6970.27002
1.2243,6894.088867
1.2284,6915.407227
1.2325,6934.170898
