Z	Element Name	EminLow	EmaxLow	bKlow	cKlow
6	C	0.66	6.21	0.8058	0.796
7	N	0.9	8.07	0.8396	0.822
8	O	1.18	10.5	0.8383	0.824
10	NE	1.88	16.9	0.8412	0.832
13	AL	3.26	28	0.812	0.86
14	SI	3.8	32.6	0.804	0.868
18	AR	6.31	53.3	0.791	0.894
20	CA	7.82	66.1	0.781	0.905
22	TI	9.55	80.7	0.775	0.914
24	CR	11.5	95.5	0.77	0.921
25	MN	12.4	104.7	0.769	0.926
26	FE	13.4	113.1	0.767	0.929
28	NI	15.6	129.8	0.764	0.936
29	CU	16.9	138	0.763	0.939
30	ZN	17.9	146.8	0.762	0.943
31	GA	19.3	156.1	0.76	0.947
32	GE	20.6	166	0.758	0.951
34	SE	23.3	182	0.756	0.959
39	Y	30.2	225.6	0.747	0.981
46	PD	41.7	284	0.734	1.016
47	AG	43.7	292.9	0.732	1.021
50	SN	48.6	321.1	0.724	1.038
51	SB	50.9	326.1	0.722	1.043
79	AU	138	670.9	0.601	1.292
82	PB	146.8	702.9	0.587	1.32
83	BI	153.7	713.9	0.581	1.333
