energy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0.05,42.17534,42.01595,41.54232,40.76784,39.71400,38.40928,36.88768,35.18709,33.34751,31.40945,29.41232,27.39317,25.38564,23.41923,21.51889,19.70480,17.99250,16.39308,14.91359,13.55753,12.32530,11.21482,10.22196,9.341053,8.565299,7.887161,7.298660,6.791639,6.357968,5.989703,5.679207,5.419237,5.202994,5.024163,4.876926,4.755964,4.656449,4.574025,4.504792,4.445276,4.392409,4.343499,4.296204,4.248510,4.198703,4.145345,4.087259,4.023503,3.953353,3.876289,3.791974,3.700242,3.601084,3.494636,3.381163,3.261051,3.134793,3.002979,2.866283,2.725458,2.581319,2.434736,2.286624,2.137929,1.989623,1.842691,1.698121,1.556894,1.419975,1.288306,1.162790,1.044290,9.336166E-1,8.315197E-1,7.386830E-1,6.557165E-1,5.831505E-1,5.214299E-1,4.709099E-1,4.318523E-1,4.044221E-1,3.886859E-1,3.846101E-1,3.920612E-1,4.108060E-1,4.405133E-1,4.807566E-1,5.310170E-1,5.906879E-1,6.590796E-1,7.354257E-1,8.188895E-1,9.085711E-1,1.003516,1.102723,1.205152,1.309739,1.415397,1.521033,1.625556,1.727886,1.826966,1.921771,2.011317,2.094673,2.170965,2.239392,2.299228,2.349830,2.390646,2.421222,2.441204,2.450343,2.448499,2.435641,2.411851,2.377322,2.332356,2.277366,2.212867,2.139478,2.057914,1.968978,1.873559,1.772621,1.667196,1.558373,1.447291,1.335128,1.223090,1.112397,1.004280,8.999603E-1,8.006451E-1,7.075123E-1,6.217010E-1,5.443004E-1,4.763392E-1,4.187757E-1,3.724886E-1,3.382678E-1,3.168070E-1,3.086956E-1,3.144135E-1,3.343247E-1,3.686735E-1,4.175809E-1,4.810427E-1,5.589278E-1,6.509786E-1,7.568124E-1,8.759213E-1,1.007680,1.151346,1.306068,1.470888,1.644755,1.826528,2.014988,2.208847,2.406757,2.607324,2.809118,3.010683,3.210554,3.407263,3.599357,3.785408,3.964023,4.133860,4.293637,4.442140,4.578242,4.700903,4.809185,4.902257,4.979404,5.040033,5.083677,5.109999,5.118795
0.1,81.03365,80.62779,79.42935,77.49384,74.90767,71.78008,68.23361,64.39448,60.38398,56.31178,52.27145,48.33816,44.56840,41.00116,37.66007,34.55606,31.69012,29.05593,26.64216,24.43440,22.41665,20.57246,18.88570,17.34112,15.92464,14.62352,13.42639,12.32322,11.30523,10.36477,9.495193,8.690755,7.946447,7.257899,6.621273,6.033169,5.490546,4.990652,4.530970,4.109169,3.723071,3.370617,3.049851,2.758897,2.495953,2.259278,2.047192,1.858071,1.690345,1.542499,1.413074,1.300670,1.203943,1.121610,1.052449,9.952966E-1,9.490529E-1,9.126768E-1,8.851871E-1,8.656605E-1,8.532298E-1,8.470819E-1,8.464552E-1,8.506370E-1,8.589605E-1,8.708023E-1,8.855795E-1,9.027466E-1,9.217933E-1,9.422417E-1,9.636444E-1,9.855826E-1,1.007664,1.029522,1.050814,1.071222,1.090449,1.108222,1.124291,1.138428,1.150429,1.160112,1.167320,1.171920,1.173804,1.172889,1.169118,1.162458,1.152904,1.140475,1.125214,1.107191,1.086497,1.063246,1.037574,1.009636,9.796030E-1,9.476636E-1,9.140192E-1,8.788821E-1,8.424738E-1,8.050220E-1,7.667583E-1,7.279152E-1,6.887245E-1,6.494140E-1,6.102058E-1,5.713139E-1,5.329423E-1,4.952829E-1,4.585145E-1,4.228010E-1,3.882905E-1,3.551144E-1,3.233872E-1,2.932059E-1,2.646501E-1,2.377826E-1,2.126494E-1,1.892810E-1,1.676930E-1,1.478876E-1,1.298546E-1,1.135730E-1,9.901265E-2,8.613556E-2,7.489788E-2,6.525127E-2,5.714459E-2,5.052537E-2,4.534120E-2,4.154108E-2,3.907648E-2,3.790235E-2,3.797784E-2,3.926694E-2,4.173875E-2,4.536770E-2,5.013345E-2,5.602067E-2,6.301850E-2,7.112000E-2,8.032125E-2,9.062046E-2,1.020169E-1,1.145095E-1,1.280961E-1,1.427717E-1,1.585274E-1,1.753489E-1,1.932159E-1,2.121000E-1,2.319647E-1,2.527637E-1,2.744407E-1,2.969286E-1,3.201492E-1,3.440128E-1,3.684189E-1,3.932557E-1,4.184012E-1,4.437237E-1,4.690826E-1,4.943297E-1,5.193104E-1,5.438653E-1,5.678319E-1,5.910458E-1,6.133431E-1,6.345623E-1,6.545456E-1,6.731412E-1,6.902053E-1,7.056036E-1,7.192133E-1,7.309244E-1,7.406414E-1,7.482841E-1,7.537892E-1,7.571109E-1,7.582212E-1
0.15,110.0295,109.3004,107.1600,103.7428,99.25209,93.93395,88.04910,81.84748,75.54931,69.33390,63.33594,57.64738,52.32320,47.38874,42.84740,38.68756,34.88832,31.42385,28.26659,25.38929,22.76628,20.37420,18.19221,16.20195,14.38746,12.73481,11.23185,9.867938,8.633611,7.520363,6.520426,5.626593,4.832072,4.130378,3.515248,2.980588,2.520430,2.128920,1.800306,1.528949,1.309334,1.136087,1.004002,9.080610E-1,8.434630E-1,8.056440E-1,7.903002E-1,7.934068E-1,8.112338E-1,8.403579E-1,8.776710E-1,9.203841E-1,9.660282E-1,1.012450,1.057807,1.100552,1.139426,1.173439,1.201851,1.224154,1.240048,1.249420,1.252322,1.248945,1.239600,1.224691,1.204696,1.180147,1.151610,1.119668,1.084904,1.047891,1.009175,9.692694E-1,9.286461E-1,8.877280E-1,8.468866E-1,8.064392E-1,7.666485E-1,7.277236E-1,6.898214E-1,6.530511E-1,6.174778E-1,5.831278E-1,5.499943E-1,5.180433E-1,4.872201E-1,4.574549E-1,4.286698E-1,4.007836E-1,3.737180E-1,3.474017E-1,3.217747E-1,2.967920E-1,2.724257E-1,2.486673E-1,2.255284E-1,2.030413E-1,1.812578E-1,1.602486E-1,1.401008E-1,1.209159E-1,1.028064E-1,8.589247E-2,7.029838E-2,5.614844E-2,4.356308E-2,3.265490E-2,2.352483E-2,1.625850E-2,1.092300E-2,7.563959E-3,6.203131E-3,6.836508E-3,9.432989E-3,1.393366E-2,2.025171E-2,2.827292E-2,3.785686E-2,4.883856E-2,6.103079E-2,7.422687E-2,8.820387E-2,1.027262E-1,1.175496E-1,1.324250E-1,1.471032E-1,1.613386E-1,1.748939E-1,1.875440E-1,1.990802E-1,2.093131E-1,2.180767E-1,2.252307E-1,2.306629E-1,2.342911E-1,2.360643E-1,2.359633E-1,2.340009E-1,2.302211E-1,2.246983E-1,2.175354E-1,2.088617E-1,1.988302E-1,1.876146E-1,1.754056E-1,1.624074E-1,1.488337E-1,1.349036E-1,1.208372E-1,1.068521E-1,9.315862E-2,7.995661E-2,6.743147E-2,5.575106E-2,4.506277E-2,3.549115E-2,2.713590E-2,2.007047E-2,1.434113E-2,9.966637E-3,6.938443E-3,5.221452E-3,4.755300E-3,5.456128E-3,7.218811E-3,9.919600E-3,1.341911E-2,1.756562E-2,2.219856E-2,2.715217E-2,3.225921E-2,3.735473E-2,4.227964E-2,4.688428E-2,5.103163E-2,5.460034E-2,5.748733E-2,5.961002E-2,6.090812E-2,6.134492E-2
0.2,121.6689,120.6288,117.5953,112.8132,106.6420,99.49833,91.79827,83.91215,76.13733,68.68897,61.70458,55.25679,49.36923,44.03188,39.21416,34.87471,30.96840,27.45069,24.28016,21.41978,18.83724,16.50482,14.39892,12.49952,10.78958,9.254467,7.881458,6.659272,5.577723,4.627414,3.799512,3.085562,2.477371,1.966918,1.546304,1.207731,9.434982E-1,7.460203E-1,6.078515E-1,5.217224E-1,4.805798E-1,4.776288E-1,5.063753E-1,5.606658E-1,6.347250E-1,7.231880E-1,8.211271E-1,9.240736E-1,1.028033,1.129492,1.225424,1.313281,1.390988,1.456924,1.509904,1.549151,1.574270,1.585216,1.582255,1.565932,1.537031,1.496537,1.445595,1.385477,1.317541,1.243196,1.163872,1.080990,9.959289E-1,9.100081E-1,8.244620E-1,7.404237E-1,6.589111E-1,5.808156E-1,5.068953E-1,4.377703E-1,3.739228E-1,3.156978E-1,2.633088E-1,2.168441E-1,1.762761E-1,1.414717E-1,1.122048E-1,8.816898E-2,6.899143E-2,5.424712E-2,4.347285E-2,3.618116E-2,3.187360E-2,3.005337E-2,3.023659E-2,3.196281E-2,3.480380E-2,3.837111E-2,4.232198E-2,4.636368E-2,5.025631E-2,5.381409E-2,5.690504E-2,5.944943E-2,6.141680E-2,6.282201E-2,6.372022E-2,6.420111E-2,6.438248E-2,6.440337E-2,6.441707E-2,6.458400E-2,6.506474E-2,6.601336E-2,6.757122E-2,6.986141E-2,7.298385E-2,7.701133E-2,8.198635E-2,8.791895E-2,9.478562E-2,1.025291E-1,1.110593E-1,1.202552E-1,1.299670E-1,1.400205E-1,1.502207E-1,1.603567E-1,1.702073E-1,1.795465E-1,1.881493E-1,1.957975E-1,2.022862E-1,2.074288E-1,2.110625E-1,2.130531E-1,2.132994E-1,2.117364E-1,2.083386E-1,2.031212E-1,1.961415E-1,1.875010E-1,1.773356E-1,1.658308E-1,1.532022E-1,1.397007E-1,1.256062E-1,1.112228E-1,9.687292E-2,8.289153E-2,6.961958E-2,5.739730E-2,4.655741E-2,3.741832E-2,3.027757E-2,2.540548E-2,2.303933E-2,2.337794E-2,2.657708E-2,3.274552E-2,4.194198E-2,5.417290E-2,6.939131E-2,8.749652E-2,1.083350E-1,1.317019E-1,1.573444E-1,1.849645E-1,2.142240E-1,2.447503E-1,2.761410E-1,3.079729E-1,3.398045E-1,3.711899E-1,4.016806E-1,4.308360E-1,4.582301E-1,4.834592E-1,5.061486E-1,5.259589E-1,5.425926E-1,5.557989E-1,5.653779E-1,5.711842E-1,5.731295E-1
0.25,125.8246,124.4740,120.5615,114.4740,106.7635,98.04232,88.88726,79.77413,71.04910,62.93027,55.52816,48.87354,42.94458,37.68920,33.04140,28.93191,25.29464,22.06991,19.20568,16.65763,14.38856,12.36747,10.56856,8.970287,7.554507,6.305705,5.210391,4.256581,3.433405,2.730795,2.139258,1.649705,1.253346,9.416139E-1,7.061359E-1,5.387197E-1,4.313651E-1,3.762878E-1,3.659523E-1,3.931114E-1,4.508470E-1,5.326119E-1,6.322683E-1,7.441237E-1,8.629618E-1,9.840663E-1,1.103240,1.216818,1.321666,1.415188,1.495309,1.560461,1.609565,1.642001,1.657577,1.656493,1.639303,1.606873,1.560333,1.501039,1.430524,1.350453,1.262580,1.168709,1.070648,9.701779E-1,8.690167E-1,7.687895E-1,6.710026E-1,5.770218E-1,4.880541E-1,4.051352E-1,3.291193E-1,2.606749E-1,2.002830E-1,1.482402E-1,1.046653E-1,6.950743E-2,4.255906E-2,2.347019E-2,1.176469E-2,6.858220E-3,8.077224E-3,1.467854E-2,2.586928E-2,4.082644E-2,5.871600E-2,7.871107E-2,1.000089E-1,1.218460E-1,1.435124E-1,1.643625E-1,1.838256E-1,2.014127E-1,2.167225E-1,2.294435E-1,2.393560E-1,2.463301E-1,2.503234E-1,2.513752E-1,2.496012E-1,2.451844E-1,2.383674E-1,2.294416E-1,2.187375E-1,2.066130E-1,1.934432E-1,1.796095E-1,1.654886E-1,1.514434E-1,1.378135E-1,1.249073E-1,1.129950E-1,1.023030E-1,9.300978E-2,8.524250E-2,7.907584E-2,7.453181E-2,7.158101E-2,7.014528E-2,7.010148E-2,7.128645E-2,7.350287E-2,7.652598E-2,8.011087E-2,8.400030E-2,8.793265E-2,9.165013E-2,9.490657E-2,9.747522E-2,9.915587E-2,9.978128E-2,9.922289E-2,9.739565E-2,9.426166E-2,8.983274E-2,8.417185E-2,7.739320E-2,6.966128E-2,6.118846E-2,5.223158E-2,4.308738E-2,3.408690E-2,2.558901E-2,1.797320E-2,1.163162E-2,6.960822E-3,4.353086E-3,4.187719E-3,6.822345E-3,1.258448E-2,2.176355E-2,3.460339E-2,5.129562E-2,7.197378E-2,9.670857E-2,1.255042E-1,1.582957E-1,1.949480E-1,2.352557E-1,2.789446E-1,3.256744E-1,3.750426E-1,4.265894E-1,4.798045E-1,5.341348E-1,5.889877E-1,6.437504E-1,6.977887E-1,7.504625E-1,8.011345E-1,8.491810E-1,8.940005E-1,9.350265E-1,9.717325E-1,1.003644,1.030347,1.051490,1.066795,1.076060,1.079161
0.3,128.2048,126.5338,121.7255,114.3408,105.1571,95.00060,84.60569,74.53302,65.14944,56.64944,49.09720,42.47083,36.69965,31.69101,27.34755,23.57703,20.29707,17.43678,14.93653,12.74693,10.82735,9.144466,7.670865,6.383828,5.264303,4.296058,3.465030,2.758744,2.165952,1.676302,1.280118,9.682438E-1,7.319322E-1,5.627841E-1,4.527120E-1,3.939299E-1,3.789597E-1,4.006489E-1,4.521955E-1,5.271772E-1,6.195825E-1,7.238390E-1,8.348408E-1,9.479708E-1,1.059118,1.164691,1.261621,1.347362,1.419887,1.477673,1.519668,1.545300,1.554412,1.547244,1.524397,1.486783,1.435590,1.372232,1.298306,1.215547,1.125778,1.030872,9.327118E-1,8.331435E-1,7.339480E-1,6.368032E-1,5.432696E-1,4.547401E-1,3.724463E-1,2.974302E-1,2.305367E-1,1.724070E-1,1.234767E-1,8.397836E-2,5.394755E-2,3.323232E-2,2.150627E-2,1.828406E-2,2.293941E-2,3.472486E-2,5.279303E-2,7.621871E-2,1.040214E-1,1.351880E-1,1.686948E-1,2.035285E-1,2.387068E-1,2.732964E-1,3.064293E-1,3.373180E-1,3.652671E-1,3.896834E-1,4.100820E-1,4.260930E-1,4.374615E-1,4.440484E-1,4.458270E-1,4.428787E-1,4.353853E-1,4.236205E-1,4.079395E-1,3.887677E-1,3.665874E-1,3.419252E-1,3.153378E-1,2.873986E-1,2.586840E-1,2.297602E-1,2.011712E-1,1.734269E-1,1.469936E-1,1.222847E-1,9.965375E-2,7.938844E-2,6.170686E-2,4.675523E-2,3.460727E-2,2.526549E-2,1.866394E-2,1.467252E-2,1.310274E-2,1.371459E-2,1.622463E-2,2.031477E-2,2.564182E-2,3.184735E-2,3.856791E-2,4.544498E-2,5.213493E-2,5.831827E-2,6.370847E-2,6.805968E-2,7.117360E-2,7.290513E-2,7.316684E-2,7.193182E-2,6.923539E-2,6.517520E-2,5.990993E-2,5.365652E-2,4.668605E-2,3.931834E-2,3.191503E-2,2.487403E-2,1.861685E-2,1.358364E-2,1.022142E-2,8.974464E-3,1.027419E-2,1.452913E-2,2.211520E-2,3.336643E-2,4.856641E-2,6.794059E-2,9.164966E-2,1.197838E-1,1.523587E-1,1.893122E-1,2.305037E-1,2.757131E-1,3.246430E-1,3.769214E-1,4.321061E-1,4.896907E-1,5.491112E-1,6.097543E-1,6.709667E-1,7.320647E-1,7.923454E-1,8.510971E-1,9.076110E-1,9.611930E-1,1.011174,1.056923,1.097853,1.133437,1.163212,1.186787,1.203853,1.214183,1.217642
0.35,130.4526,128.4509,122.7295,114.0533,103.4535,91.98022,80.51427,69.67733,59.83042,51.12399,43.56429,37.07335,31.53357,26.81639,22.79863,19.37022,16.43685,13.91981,11.75442,9.888023,8.277871,6.889248,5.693789,4.668109,3.792678,3.050931,2.428567,1.913017,1.493027,1.158364,8.995877E-1,7.078976E-1,5.750237E-1,4.931593E-1,4.549191E-1,4.533207E-1,4.817797E-1,5.341150E-1,6.045620E-1,6.877867E-1,7.789026E-1,8.734854E-1,9.675862E-1,1.057740,1.140971,1.214791,1.277197,1.326657,1.362096,1.382874,1.388760,1.379902,1.356794,1.320238,1.271303,1.211285,1.141664,1.064061,9.801954E-1,8.918419E-1,8.007909E-1,7.088104E-1,6.176105E-1,5.288112E-1,4.439130E-1,3.642730E-1,2.910837E-1,2.253568E-1,1.679110E-1,1.193645E-1,8.013166E-2,5.042388E-2,3.025436E-2,1.944651E-2,1.764582E-2,2.433454E-2,3.884907E-2,6.039930E-2,8.808971E-2,1.209417E-1,1.579161E-1,1.979371E-1,2.399144E-1,2.827659E-1,3.254387E-1,3.669293E-1,4.063010E-1,4.427004E-1,4.753708E-1,5.036637E-1,5.270471E-1,5.451124E-1,5.575770E-1,5.642849E-1,5.652057E-1,5.604296E-1,5.501613E-1,5.347113E-1,5.144855E-1,4.899729E-1,4.617333E-1,4.303820E-1,3.965759E-1,3.609978E-1,3.243414E-1,2.872964E-1,2.505342E-1,2.146944E-1,1.803728E-1,1.481094E-1,1.183800E-1,9.158752E-2,6.805613E-2,4.802693E-2,3.165557E-2,1.901175E-2,1.008056E-2,4.765571E-3,2.893721E-3,4.221634E-3,8.443362E-3,1.519932E-2,2.408622E-2,3.466770E-2,4.648554E-2,5.907120E-2,7.195727E-2,8.468883E-2,9.683428E-2,1.079957E-1,1.178181E-1,1.259979E-1,1.322899E-1,1.365130E-1,1.385551E-1,1.383750E-1,1.360043E-1,1.315470E-1,1.251773E-1,1.171362E-1,1.077267E-1,9.730740E-2,8.628519E-2,7.510644E-2,6.424771E-2,5.420556E-2,4.548587E-2,3.859288E-2,3.401820E-2,3.222988E-2,3.366192E-2,3.870424E-2,4.769361E-2,6.090524E-2,7.854568E-2,1.007469E-1,1.275617E-1,1.589609E-1,1.948311E-1,2.349754E-1,2.791145E-1,3.268901E-1,3.778691E-1,4.315499E-1,4.873697E-1,5.447130E-1,6.029211E-1,6.613022E-1,7.191433E-1,7.757210E-1,8.303131E-1,8.822119E-1,9.307346E-1,9.752350E-1,1.015115,1.049833,1.078915,1.101962,1.118656,1.128766,1.132151
0.4,132.8723,130.5320,123.8861,113.9322,101.9783,89.30206,76.91424,65.47197,55.30747,46.51251,39.02982,32.72624,27.44162,23.01712,19.30905,16.19404,13.56938,11.35120,9.471712,7.876410,6.521485,5.371592,4.398021,3.577209,2.889571,2.318584,1.850084,1.471728,1.172593,9.428698E-1,7.736485E-1,6.567556E-1,5.846436E-1,5.503145E-1,5.472688E-1,5.694754E-1,6.113551E-1,6.677722E-1,7.340339E-1,8.058914E-1,8.795438E-1,9.516395E-1,1.019278,1.080007,1.131816,1.173131,1.202796,1.220057,1.224543,1.216238,1.195450,1.162784,1.119104,1.065496,1.003230,9.337249E-1,8.585031E-1,7.791554E-1,6.973038E-1,6.145636E-1,5.325109E-1,4.526502E-1,3.763868E-1,3.050029E-1,2.396337E-1,1.812528E-1,1.306577E-1,8.846094E-2,5.508460E-2,3.075952E-2,1.552775E-2,9.248892E-3,1.160973E-2,2.213678E-2,4.021166E-2,6.508852E-2,9.591349E-2,1.317454E-1,1.715776E-1,2.143598E-1,2.590209E-1,3.044901E-1,3.497189E-1,3.937003E-1,4.354871E-1,4.742097E-1,5.090892E-1,5.394508E-1,5.647329E-1,5.844951E-1,5.984224E-1,6.063278E-1,6.081514E-1,6.039576E-1,5.939303E-1,5.783649E-1,5.576589E-1,5.323013E-1,5.028596E-1,4.699658E-1,4.343022E-1,3.965862E-1,3.575544E-1,3.179475E-1,2.784950E-1,2.399012E-1,2.028310E-1,1.678979E-1,1.356530E-1,1.065752E-1,8.106357E-2,5.943121E-2,4.190126E-2,2.860455E-2,1.957937E-2,1.477303E-2,1.404533E-2,1.717366E-2,2.385972E-2,3.373770E-2,4.638366E-2,6.132591E-2,7.805629E-2,9.604192E-2,1.147373E-1,1.335968E-1,1.520860E-1,1.696945E-1,1.859457E-1,2.004079E-1,2.127033E-1,2.225156E-1,2.295973E-1,2.337742E-1,2.349499E-1,2.331068E-1,2.283073E-1,2.206922E-1,2.104782E-1,1.979531E-1,1.834701E-1,1.674408E-1,1.503269E-1,1.326305E-1,1.148842E-1,9.764042E-2,8.145964E-2,6.689933E-2,5.450235E-2,4.478569E-2,3.822966E-2,3.526770E-2,3.627703E-2,4.157032E-2,5.138851E-2,6.589487E-2,8.517059E-2,1.092118E-1,1.379281E-1,1.711426E-1,2.085941E-1,2.499398E-1,2.947606E-1,3.425668E-1,3.928060E-1,4.448719E-1,4.981138E-1,5.518467E-1,6.053634E-1,6.579459E-1,7.088768E-1,7.574519E-1,8.029920E-1,8.448541E-1,8.824419E-1,9.152173E-1,9.427075E-1,9.645149E-1,9.803225E-1,9.899001E-1,9.931082E-1
0.45,135.4655,132.7799,125.2023,113.9901,100.7469,86.97535,73.79687,61.87943,51.50760,42.70497,35.34933,29.25570,24.22675,20.07869,16.65199,13.81363,11.45523,9.489739,7.847704,6.473812,5.323938,4.362703,3.561508,2.897002,2.349879,1.903956,1.545478,1.262579,1.044886,8.832175E-1,7.693602E-1,6.959092E-1,6.561464E-1,6.439557E-1,6.537629E-1,6.804944E-1,7.195474E-1,7.667713E-1,8.184551E-1,8.713171E-1,9.224978E-1,9.695527E-1,1.010443,1.043527,1.067547,1.081611,1.085182,1.078049,1.060305,1.032322,9.947211E-1,9.483394E-1,8.941981E-1,8.334686E-1,7.674373E-1,6.974714E-1,6.249849E-1,5.514051E-1,4.781414E-1,4.065556E-1,3.379351E-1,2.734682E-1,2.142225E-1,1.611303E-1,1.149681E-1,7.635207E-2,4.572764E-2,2.336725E-2,9.370373E-3,3.667261E-3,6.025772E-3,1.606123E-2,3.324893E-2,5.693896E-2,8.637301E-2,1.207026E-1,1.590090E-1,2.003221E-1,2.436452E-1,2.879679E-1,3.322938E-1,3.756560E-1,4.171355E-1,4.558783E-1,4.911100E-1,5.221490E-1,5.484166E-1,5.694460E-1,5.848879E-1,5.945146E-1,5.982205E-1,5.960210E-1,5.880495E-1,5.745501E-1,5.558725E-1,5.324595E-1,5.048374E-1,4.736036E-1,4.394126E-1,4.029612E-1,3.649746E-1,3.261912E-1,2.873470E-1,2.491617E-1,2.123247E-1,1.774820E-1,1.452242E-1,1.160763E-1,9.048858E-2,6.882882E-2,5.137718E-2,3.832218E-2,2.975876E-2,2.568820E-2,2.602001E-2,3.057537E-2,3.909242E-2,5.123306E-2,6.659106E-2,8.470157E-2,1.050515E-1,1.270906E-1,1.502437E-1,1.739224E-1,1.975377E-1,2.205121E-1,2.422913E-1,2.623558E-1,2.802305E-1,2.954956E-1,3.077938E-1,3.168379E-1,3.224162E-1,3.243969E-1,3.227320E-1,3.174511E-1,3.086751E-1,2.965993E-1,2.814974E-1,2.637141E-1,2.436588E-1,2.217978E-1,1.986449E-1,1.747519E-1,1.506978E-1,1.270776E-1,1.044909E-1,8.353030E-2,6.476978E-2,4.875361E-2,3.598563E-2,2.691925E-2,2.194838E-2,2.139940E-2,2.552427E-2,3.449508E-2,4.839991E-2,6.724018E-2,9.092965E-2,1.192950E-1,1.520776E-1,1.889375E-1,2.294582E-1,2.731528E-1,3.194724E-1,3.678144E-1,4.175321E-1,4.679456E-1,5.183532E-1,5.680424E-1,6.163022E-1,6.624348E-1,7.057674E-1,7.456635E-1,7.815331E-1,8.128437E-1,8.391277E-1,8.599921E-1,8.751235E-1,8.842942E-1,8.873665E-1
0.5,138.1876,135.1509,126.6368,114.1879,99.71881,84.95088,71.09485,58.80734,48.31048,39.55439,32.35332,26.47509,21.69049,17.79565,14.61899,12.02066,9.888673,8.134245,6.687256,5.492317,4.505524,3.691862,3.023174,2.476588,2.033326,1.677704,1.396603,1.178773,1.014522,8.953964E-1,8.139573E-1,7.636111E-1,7.384845E-1,7.333296E-1,7.434538E-1,7.646701E-1,7.932561E-1,8.259276E-1,8.598152E-1,8.924468E-1,9.217324E-1,9.459494E-1,9.637287E-1,9.740390E-1,9.761704E-1,9.697159E-1,9.545522E-1,9.308133E-1,8.988709E-1,8.593048E-1,8.128763E-1,7.604989E-1,7.032083E-1,6.421324E-1,5.784615E-1,5.134178E-1,4.482276E-1,3.840939E-1,3.221710E-1,2.635411E-1,2.091938E-1,1.600082E-1,1.167380E-1,7.999931E-2,5.026222E-2,2.784568E-2,1.291502E-2,5.483180E-3,5.414711E-3,1.243259E-2,2.612771E-2,4.597063E-2,7.132537E-2,1.014649E-1,1.355879E-1,1.728365E-1,2.123148E-1,2.531058E-1,2.942975E-1,3.349854E-1,3.743057E-1,4.114430E-1,4.456462E-1,4.762424E-1,5.026478E-1,5.243768E-1,5.410487E-1,5.523931E-1,5.582528E-1,5.585837E-1,5.534528E-1,5.430352E-1,5.276081E-1,5.075408E-1,4.832905E-1,4.553866E-1,4.244209E-1,3.910349E-1,3.559062E-1,3.197335E-1,2.832239E-1,2.470781E-1,2.119771E-1,1.785692E-1,1.474579E-1,1.191906E-1,9.424944E-2,7.304234E-2,5.589657E-2,4.305339E-2,3.466479E-2,3.079172E-2,3.140421E-2,3.638324E-2,4.552421E-2,5.854211E-2,7.507801E-2,9.470713E-2,1.169477E-1,1.412712E-1,1.671133E-1,1.938850E-1,2.209848E-1,2.478102E-1,2.737702E-1,2.982962E-1,3.208535E-1,3.409514E-1,3.581528E-1,3.720824E-1,3.824343E-1,3.889775E-1,3.915601E-1,3.901129E-1,3.846500E-1,3.752694E-1,3.621507E-1,3.455520E-1,3.258051E-1,3.033096E-1,2.785257E-1,2.519654E-1,2.241832E-1,1.957665E-1,1.673238E-1,1.394745E-1,1.128370E-1,8.801726E-2,6.559790E-2,4.612713E-2,3.010860E-2,1.799191E-2,1.016408E-2,6.942077E-3,8.566547E-3,1.519688E-2,2.690763E-2,4.368653E-2,6.543374E-2,9.196304E-2,1.230042E-1,1.582065E-1,1.971445E-1,2.393245E-1,2.841923E-1,3.311421E-1,3.795256E-1,4.286636E-1,4.778562E-1,5.263946E-1,5.735726E-1,6.186981E-1,6.611047E-1,7.001626E-1,7.352886E-1,7.659572E-1,7.917066E-1,8.121489E-1,8.269756E-1,8.359624E-1,8.389733E-1
