Crystal Size,ppm,Beam size,Concentration,DWD,DE
50,0.4,100,0.0,188.608479,87071608.28245
50,0.4,100,50.0,188.608479,87071608.28245
50,0.4,100,100.0,188.608479,87071608.28245
50,0.4,100,150.0,188.608479,87071608.28245
50,0.4,100,200.0,188.608479,87071608.28245
50,0.4,100,250.0,188.608479,87071608.28245
50,0.4,100,300.0,188.608479,87071608.28245
50,0.4,100,350.0,188.608479,87071608.28245
50,0.4,100,400.0,188.608479,87071608.28245
50,0.4,100,450.0,188.608479,87071608.28245
50,0.4,100,500.0,188.608479,87071608.28245
50,0.4,100,550.0,188.608479,87071608.28245
50,0.4,100,600.0,188.608479,87071608.28245
50,0.4,100,650.0,188.608479,87071608.28245
50,0.4,100,700.0,188.608479,87071608.28245
50,0.4,100,750.0,188.608479,87071608.28245
50,0.4,100,800.0,188.608479,87071608.28245
50,0.4,100,850.0,188.608479,87071608.28245
50,0.4,100,900.0,188.608479,87071608.28245
50,0.4,100,950.0,188.608479,87071608.28245
50,0.4,100,1000.0,188.608479,87071608.28245
